GEOID,name,measure,value
17031010100,17031010100,CT_FIPS,17031010100
17031010201,17031010201,CT_FIPS,17031010201
17031010202,17031010202,CT_FIPS,17031010202
17031010300,17031010300,CT_FIPS,17031010300
17031010400,17031010400,CT_FIPS,17031010400
17031010501,17031010501,CT_FIPS,17031010501
17031010502,17031010502,CT_FIPS,17031010502
17031010503,17031010503,CT_FIPS,17031010503
17031010600,17031010600,CT_FIPS,17031010600
17031010701,17031010701,CT_FIPS,17031010701
17031010702,17031010702,CT_FIPS,17031010702
17031020100,17031020100,CT_FIPS,17031020100
17031020200,17031020200,CT_FIPS,17031020200
17031020301,17031020301,CT_FIPS,17031020301
17031020302,17031020302,CT_FIPS,17031020302
17031020400,17031020400,CT_FIPS,17031020400
17031020500,17031020500,CT_FIPS,17031020500
17031020601,17031020601,CT_FIPS,17031020601
17031020602,17031020602,CT_FIPS,17031020602
17031020701,17031020701,CT_FIPS,17031020701
17031020702,17031020702,CT_FIPS,17031020702
17031020801,17031020801,CT_FIPS,17031020801
17031020802,17031020802,CT_FIPS,17031020802
17031020901,17031020901,CT_FIPS,17031020901
17031020902,17031020902,CT_FIPS,17031020902
17031030101,17031030101,CT_FIPS,17031030101
17031030102,17031030102,CT_FIPS,17031030102
17031030103,17031030103,CT_FIPS,17031030103
17031030104,17031030104,CT_FIPS,17031030104
17031030200,17031030200,CT_FIPS,17031030200
17031030300,17031030300,CT_FIPS,17031030300
17031030400,17031030400,CT_FIPS,17031030400
17031030500,17031030500,CT_FIPS,17031030500
17031030601,17031030601,CT_FIPS,17031030601
17031030603,17031030603,CT_FIPS,17031030603
17031030604,17031030604,CT_FIPS,17031030604
17031030701,17031030701,CT_FIPS,17031030701
17031030702,17031030702,CT_FIPS,17031030702
17031030703,17031030703,CT_FIPS,17031030703
17031030706,17031030706,CT_FIPS,17031030706
17031030800,17031030800,CT_FIPS,17031030800
17031030900,17031030900,CT_FIPS,17031030900
17031031000,17031031000,CT_FIPS,17031031000
17031031100,17031031100,CT_FIPS,17031031100
17031031200,17031031200,CT_FIPS,17031031200
17031031300,17031031300,CT_FIPS,17031031300
17031031400,17031031400,CT_FIPS,17031031400
17031031501,17031031501,CT_FIPS,17031031501
17031031502,17031031502,CT_FIPS,17031031502
17031031700,17031031700,CT_FIPS,17031031700
17031031800,17031031800,CT_FIPS,17031031800
17031031900,17031031900,CT_FIPS,17031031900
17031032100,17031032100,CT_FIPS,17031032100
17031040100,17031040100,CT_FIPS,17031040100
17031040201,17031040201,CT_FIPS,17031040201
17031040202,17031040202,CT_FIPS,17031040202
17031040300,17031040300,CT_FIPS,17031040300
17031040401,17031040401,CT_FIPS,17031040401
17031040402,17031040402,CT_FIPS,17031040402
17031040600,17031040600,CT_FIPS,17031040600
17031040700,17031040700,CT_FIPS,17031040700
17031040800,17031040800,CT_FIPS,17031040800
17031040900,17031040900,CT_FIPS,17031040900
17031050100,17031050100,CT_FIPS,17031050100
17031050200,17031050200,CT_FIPS,17031050200
17031050300,17031050300,CT_FIPS,17031050300
17031050500,17031050500,CT_FIPS,17031050500
17031050600,17031050600,CT_FIPS,17031050600
17031050700,17031050700,CT_FIPS,17031050700
17031050800,17031050800,CT_FIPS,17031050800
17031050900,17031050900,CT_FIPS,17031050900
17031051000,17031051000,CT_FIPS,17031051000
17031051100,17031051100,CT_FIPS,17031051100
17031051200,17031051200,CT_FIPS,17031051200
17031051300,17031051300,CT_FIPS,17031051300
17031051400,17031051400,CT_FIPS,17031051400
17031060100,17031060100,CT_FIPS,17031060100
17031060200,17031060200,CT_FIPS,17031060200
17031060300,17031060300,CT_FIPS,17031060300
17031060400,17031060400,CT_FIPS,17031060400
17031060500,17031060500,CT_FIPS,17031060500
17031060800,17031060800,CT_FIPS,17031060800
17031060900,17031060900,CT_FIPS,17031060900
17031061000,17031061000,CT_FIPS,17031061000
17031061100,17031061100,CT_FIPS,17031061100
17031061200,17031061200,CT_FIPS,17031061200
17031061500,17031061500,CT_FIPS,17031061500
17031061800,17031061800,CT_FIPS,17031061800
17031061901,17031061901,CT_FIPS,17031061901
17031061902,17031061902,CT_FIPS,17031061902
17031062000,17031062000,CT_FIPS,17031062000
17031062100,17031062100,CT_FIPS,17031062100
17031062200,17031062200,CT_FIPS,17031062200
17031062300,17031062300,CT_FIPS,17031062300
17031062400,17031062400,CT_FIPS,17031062400
17031062500,17031062500,CT_FIPS,17031062500
17031062600,17031062600,CT_FIPS,17031062600
17031062700,17031062700,CT_FIPS,17031062700
17031062800,17031062800,CT_FIPS,17031062800
17031062900,17031062900,CT_FIPS,17031062900
17031063000,17031063000,CT_FIPS,17031063000
17031063100,17031063100,CT_FIPS,17031063100
17031063200,17031063200,CT_FIPS,17031063200
17031063301,17031063301,CT_FIPS,17031063301
17031063302,17031063302,CT_FIPS,17031063302
17031063303,17031063303,CT_FIPS,17031063303
17031063400,17031063400,CT_FIPS,17031063400
17031070101,17031070101,CT_FIPS,17031070101
17031070102,17031070102,CT_FIPS,17031070102
17031070103,17031070103,CT_FIPS,17031070103
17031070200,17031070200,CT_FIPS,17031070200
17031070300,17031070300,CT_FIPS,17031070300
17031070400,17031070400,CT_FIPS,17031070400
17031070500,17031070500,CT_FIPS,17031070500
17031070600,17031070600,CT_FIPS,17031070600
17031070700,17031070700,CT_FIPS,17031070700
17031071000,17031071000,CT_FIPS,17031071000
17031071100,17031071100,CT_FIPS,17031071100
17031071200,17031071200,CT_FIPS,17031071200
17031071300,17031071300,CT_FIPS,17031071300
17031071400,17031071400,CT_FIPS,17031071400
17031071500,17031071500,CT_FIPS,17031071500
17031071600,17031071600,CT_FIPS,17031071600
17031071700,17031071700,CT_FIPS,17031071700
17031071800,17031071800,CT_FIPS,17031071800
17031080100,17031080100,CT_FIPS,17031080100
17031080201,17031080201,CT_FIPS,17031080201
17031080202,17031080202,CT_FIPS,17031080202
17031080300,17031080300,CT_FIPS,17031080300
17031080400,17031080400,CT_FIPS,17031080400
17031081000,17031081000,CT_FIPS,17031081000
17031081100,17031081100,CT_FIPS,17031081100
17031081201,17031081201,CT_FIPS,17031081201
17031081202,17031081202,CT_FIPS,17031081202
17031081300,17031081300,CT_FIPS,17031081300
17031081401,17031081401,CT_FIPS,17031081401
17031081402,17031081402,CT_FIPS,17031081402
17031081403,17031081403,CT_FIPS,17031081403
17031081500,17031081500,CT_FIPS,17031081500
17031081600,17031081600,CT_FIPS,17031081600
17031081700,17031081700,CT_FIPS,17031081700
17031081800,17031081800,CT_FIPS,17031081800
17031081900,17031081900,CT_FIPS,17031081900
17031090100,17031090100,CT_FIPS,17031090100
17031090200,17031090200,CT_FIPS,17031090200
17031090300,17031090300,CT_FIPS,17031090300
17031100100,17031100100,CT_FIPS,17031100100
17031100200,17031100200,CT_FIPS,17031100200
